x_e	y_e	yaw_e	vx_e	vy_e	Bx	By	x_N	y_E	yaw	y_ICR_r	y_ICR_l	x_ICR_v	vr	vl	x	y	yaw_imu	wr	wl	wr_f	wl_f	old_x	old_y	ref_r	ref_l
-1.3574291268164547	-3.2793986199064573	0.3032323243389679	-0.07738091180644073	-0.04644187944566077	-0.2479212566657702	-0.20594267841382652	-1.3571598405241505	-3.2793237318436663	0.49719875991123536	24.917909379239145	-26.573831391692675	5.912513861237791	0.1620302352746643	0.10936340297269354	-2.0720610763528384	-4.199862117297016	-0.32515015027394023	2.3357231616973877	1.575331687927246	3.195290666154323	2.1240072379204964	44.70124282255479	1.6250154869420823	36.46397399902344	2.06343674659729
-1.3646888178195984	-3.2836587885548365	0.30481937523801417	-0.07273220072872366	-0.04184849775644648	-0.24793048944015647	-0.2058202494067805	-1.3646802364540254	-3.283700072988132	0.49950839179911194	24.888603375442653	-26.61816030771798	5.911172760020533	0.14048917755007687	0.09910690423582805	-2.0720610763528384	-4.199862117297016	-0.3259234470970218	1.9870885610580444	1.4495238065719604	2.8840894692820664	1.9320819001823661	44.770261839687954	1.6514341595972108	36.46397399902344	2.06343674659729
-1.3720997141383942	-3.288279811243243	0.307135005897227	-0.07159030998490414	-0.04648774631534277	-0.24775886778939357	-0.2058652871861754	-1.3722594703015516	-3.2882645995861455	0.5017685983239503	24.85906103988964	-26.662588596332117	5.909723534962318	0.12712455866556624	0.08720502465224665	-2.0720610763528384	-4.199862117297016	-0.32362047974272756	1.857224702835083	1.2476677894592285	2.5696363441217063	1.7426823100795896	44.820929523468074	1.6712606684280988	36.46397399902344	2.06343674659729
-1.379742768816162	-3.292988052148379	0.3071864838206946	-0.07726277586227119	-0.0484718517295486	-0.24781549008231687	-0.20609041459901192	-1.3796899810948549	-3.2929118925970564	0.5039684498631495	24.829302341736287	-26.70709297037171	5.908171747717391	0.12087384897110509	0.08236182621919617	-2.0720610763528384	-4.199862117297016	-0.3303364226495431	1.8282550573349	1.240156888961792	2.293389070089296	1.5680619295280263	44.86755274093564	1.6899395470773773	36.46397399902344	2.06343674659729
-1.387132098700513	-3.2975773937425505	0.30882443278364646	-0.07635473182343139	-0.04656528303073994	-0.2479827049467559	-0.20619910129843785	-1.3869759714126904	-3.2975405666256448	0.5061089423542446	24.799350888139745	-26.751650549404612	5.906511846904886	0.11516720610448232	0.07791236905015228	-2.0720610763528384	-4.199862117297016	-0.3305252885719836	1.7443429231643677	1.174436330795288	2.082301384826038	1.4245669311511981	44.91050353754312	1.707487955587194	36.46397399902344	2.06343674659729
-1.3942660566039795	-3.302146388771255	0.30954900179651157	-0.07372315252966621	-0.04557231270556672	-0.24814438600902586	-0.20618010165215864	-1.3941148676302437	-3.302152836860623	0.5081909675896157	24.769228876204178	-26.79623900575163	5.904741867770308	0.11030058634386164	0.07439316347898965	-2.0720610763528384	-4.199862117297016	-0.3340164032417725	1.676414132118225	1.1284319162368774	1.9290920035317956	1.3158158500898227	44.96444500290339	1.729859742787442	36.46397399902344	2.06343674659729
-1.401125002464419	-3.3068095575363143	0.31190810093481225	-0.06955117242744213	-0.04791709437370702	-0.2482095220919999	-0.2063873769259676	-1.4010640012896836	-3.3067391002139894	0.5102136903894181	24.738959032716007	-26.84083622134961	5.902861620755409	0.1069797199185573	0.07464579777072385	-2.0720610763528384	-4.199862117297016	-0.33056726802428416	1.6394528150558472	1.168803095817566	1.8172475804383086	1.2384692238378987	44.98803774432395	1.7398789109395627	36.46397399902344	2.06343674659729
-1.4081315242674703	-3.311427471098236	0.3108243646194555	-0.07204651551025945	-0.04677835025184651	-0.24834351199379354	-0.20648384818467871	-1.4080058510328959	-3.3113946261500127	0.5121878170127182	24.708611572178643	-26.885371554532902	5.90085231683855	0.10638297455345909	0.07151146364943708	-2.0720610763528384	-4.199862117297016	-0.3418472032625153	1.6564351320266724	1.087121844291687	1.7392694543104907	1.1879473361295194	45.04222557608324	1.7630518294817463	36.46397399902344	2.06343674659729
-1.4148222906350911	-3.315974443335963	0.3138704673335616	-0.06857356308863764	-0.0456065404312251	-0.2484560033576455	-0.2065058403831999	-1.4147166228403376	-3.315966943872686	0.5141029133147327	24.678137688741533	-26.92989624248341	5.8987344682616305	0.1049696455824498	0.07198538007476145	-2.0720610763528384	-4.199862117297016	-0.33470630966922466	1.6264665126800537	1.1293708086013794	1.6899613927579273	1.1538315333097273	45.0626220246649	1.7718136312338804	36.46397399902344	2.06343674659729
-1.4214188577190754	-3.3205436600703617	0.3139306489682512	-0.06791116044128631	-0.04624307447742996	-0.24858717766078933	-0.2065942530383125	-1.4212954553370392	-3.3205134629332904	0.515965685102394	24.647573710107768	-26.97437531456177	5.8965010392181725	0.10379759029714104	0.07272344051578909	-2.0720610763528384	-4.199862117297016	-0.34087252268269186	1.6104832887649536	1.1434537172317505	1.6587323136904846	1.1347581886627254	45.09144628523954	1.7844340028376073	35.432254791259766	1.0317192077636719
-1.4298972824165612	-3.3248333904651033	0.31500252668712514	-0.08573931835973723	-0.043087417932940575	-0.2486514770051145	-0.20662471528946455	-1.429836702144451	-3.324822969641619	0.5186679476201952	24.61520567343726	-27.02074412727785	5.8995232682947	0.10710373369874536	0.07088848153763558	-2.2199845027644187	-4.1998222096590325	-0.34485737032512165	1.7053837776184082	1.0899385213851929	1.6433759245405108	1.1264761151688572	45.13759585247705	1.8044799991188496	33.11088943481445	-1.2896476984024048
-1.438634778710376	-3.329091279783255	0.31634341507333374	-0.09309079740119229	-0.04339617094915918	-0.2490357170488349	-0.20675546194615324	-1.4382722221368682	-3.329046481821479	0.5213064379600123	24.58269584648849	-27.06712611363279	5.902386882213801	0.10421771707868654	0.06019799913137364	-2.2199845027644187	-4.1998222096590325	-0.3479777800556947	1.6004936695098877	0.8373838067054749	1.641432412974246	1.1019380203080864	45.16463768581525	1.8162992494126629	29.499874114990234	-4.900661468505859
-1.4470142391043692	-3.333045241850181	0.3198976335762459	-0.09304037495843523	-0.03943650433071482	-0.24965632850581787	-0.20673899161028333	-1.4464277769028009	-3.3330508940388284	0.5238717488480044	24.5498933161751	-27.113672220369534	5.90515980403489	0.09118249474192926	0.044750974088664075	-2.2199845027644187	-4.1998222096590325	-0.3409269332178195	1.2988098859786987	0.5500910878181458	1.617984661841792	1.0247926621995027	45.1904654858356	1.8276341683536548	27.436437606811523	-6.96409797668457
